127.0.0.1 - - [13/Sep/2018:02:57:05 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:01 -0700] "GET /Student/sign_up.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:05 -0700] "GET /Student/Bootstrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:05 -0700] "GET /Student/Bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:05 -0700] "GET /Student/Bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:16 -0700] "GET /Student/img/img8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:58:32 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Sep/2018:02:59:40 -0700] "GET /Student/sign_up.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:22:26 -0700] "GET /Student/sign_up.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:22:27 -0700] "GET /Student/sign_up.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:22:30 -0700] "POST /Student/sign HTTP/1.1" 405 1108
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:23:15 -0700] "GET /Student/ HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:23:16 -0700] "GET /Student/img/india.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:23:17 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:23:17 -0700] "GET /Student/Bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:24:01 -0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:24:05 -0700] "GET /Student/Login.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:24:07 -0700] "GET /Student/Bootstrap/css/logcss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:24:11 -0700] "GET /Student/img/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:00 -0700] "POST /Student/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:00 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:00 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:23 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:23 -0700] "GET /Student/img/ba88.bmp HTTP/1.1" 200 44782442
0:0:0:0:0:0:0:1 - - [13/Sep/2018:03:25:36 -0700] "GET /Student/Index.jsp HTTP/1.1" 200 1841
